id_policy,id_pool,age,math_res
0,0,56,29741
1,1,35,458436
2,1,40,465828
3,1,34,593057
4,0,36,207312
5,1,38,168994
6,1,55,76825
7,0,39,851883
8,0,36,249546
9,0,64,885446
10,0,70,535823
11,1,40,623416
12,1,47,199047
13,0,62,266241
14,0,32,366123
15,0,61,256634
16,0,40,152056
17,0,37,849922
18,1,53,840887
19,0,52,663643
20,1,57,265624
21,0,39,472613
22,0,33,430184
23,1,35,749048
24,0,68,363545
25,0,53,750785
26,1,65,360895
27,0,33,787082
28,1,31,107437
29,0,66,810081
30,0,38,502766
31,1,50,915933
32,0,31,394345
33,1,36,237751
34,1,60,126842
35,0,51,419732
36,0,67,578639
37,0,41,433642
38,0,48,374183
39,1,59,286977
40,0,53,109849
41,0,42,314008
42,0,64,746303
43,0,68,335570
44,0,39,846715
45,0,58,148170
46,1,69,462828
47,1,70,756193
48,0,42,302611
49,0,64,505897
50,1,52,424105
51,1,47,500917
52,1,30,258107
53,0,67,215795
54,1,62,894704
55,1,46,834571
56,0,43,978228
57,1,65,261920
58,0,54,511773
59,1,41,894114
60,1,59,71882
61,1,66,721438
62,1,36,245920
63,1,35,896268
64,1,49,539243
65,0,56,826382
66,0,38,216033
67,0,41,966789
68,0,52,718276
69,0,48,513093
70,0,35,410359
71,0,45,534862
72,1,47,369412
73,1,60,649549
74,0,33,981871
75,0,57,801306
76,0,58,285736
77,0,45,67679
78,1,49,226868
79,0,44,850740
80,0,68,759768
81,0,61,251438
82,1,51,728604
83,1,56,46589
84,1,31,658864
85,0,53,579084
86,1,68,424831
87,0,50,226505
88,1,56,518149
89,0,60,187680
90,0,54,207300
91,0,35,991242
92,0,44,115475
93,1,59,999298
94,0,30,172314
95,1,44,118613
96,1,53,394231
97,1,69,281052
98,0,45,370257
99,1,44,72672
100,1,30,217535
101,0,37,698736
102,0,58,438228
103,1,56,251066
104,1,68,842970
105,1,38,804952
106,1,65,158388
107,1,60,395363
108,0,62,713479
109,1,63,104641
110,0,48,272966
111,0,68,149487
112,1,60,556810
113,0,35,326081
114,0,64,849589
115,1,42,996107
116,0,68,36570
117,1,45,297634
118,1,31,619452
119,0,57,619155
120,0,30,12775
121,0,44,844713
122,0,48,93087
123,0,45,737159
124,0,35,324852
125,1,62,308652
126,1,61,637187
127,1,59,339456
128,1,38,403998
129,1,32,710462
130,0,56,235802
131,1,69,957496
132,0,53,310221
133,1,39,327835
134,1,63,227111
135,0,49,118511
136,1,64,282342
137,0,30,355051
138,1,53,134617
139,0,63,110426
140,1,58,466838
141,0,35,951370
142,1,60,646492
143,0,49,602538
144,0,67,667573
145,1,63,814820
146,1,37,18027
147,0,50,250620
148,0,49,115670
149,1,35,554275
150,0,48,654699
151,0,57,992525
152,1,51,596872
153,1,56,557125
154,1,60,931673
155,1,44,501090
156,1,30,123780
157,0,40,347000
158,1,48,28995
159,1,55,889191
160,0,64,793371
161,0,37,805907
162,0,66,186125
163,0,66,438544
164,1,40,493978
165,0,60,569141
166,1,50,840336
167,0,66,590073
168,0,48,524504
169,1,40,758425
170,1,43,107578
171,1,43,681814
172,1,56,75821
173,0,69,696700
174,0,31,150734
175,0,43,872834
176,1,44,983527
177,0,32,768483
178,1,41,327913
179,0,63,153480
180,0,66,902161
181,1,59,443233
182,1,61,562217
183,0,60,532504
184,1,57,600696
185,0,62,362049
186,1,68,144759
187,1,52,528039
188,1,45,614528
189,1,40,802636
190,0,30,17436
191,1,49,815936
192,1,61,439615
193,0,45,154767
194,1,43,907442
195,1,62,328963
196,1,59,490300
197,1,31,932735
198,0,62,117617
199,1,32,670113
200,0,52,521268
201,1,52,190583
202,1,49,415941
203,1,30,576866
204,0,41,14422
205,0,43,772490
206,1,31,955511
207,0,37,131795
208,0,68,710710
209,0,70,609434
210,1,57,913035
211,1,35,287786
212,1,66,275212
213,1,43,352433
214,0,51,543503
215,0,63,327082
216,1,60,909105
217,0,69,591135
218,0,59,495430
219,1,36,496232
220,1,33,88755
221,0,56,461230
222,1,65,15063
223,1,54,465449
224,0,59,742139
225,1,40,725903
226,1,34,124198
227,1,59,635765
228,1,46,283676
229,0,48,648568
230,0,42,718111
231,0,62,701955
232,0,40,634526
233,1,70,56094
234,1,50,875820
235,1,56,504429
236,1,55,343814
237,1,39,68742
238,0,63,607184
239,0,43,110727
240,1,66,561772
241,1,53,203495
242,1,68,224015
243,0,47,929600
244,1,46,88080
245,0,66,230617
246,1,47,87936
247,1,39,942328
248,0,54,93651
249,1,70,584915
250,0,37,715369
251,1,60,207672
252,1,31,508663
253,1,33,531197
254,0,64,914307
255,1,56,321034
256,1,50,122549
257,1,64,665370
258,0,43,880327
259,1,30,253262
260,0,69,638237
261,1,54,133648
262,1,43,837252
263,0,33,901671
264,0,65,814751
265,1,67,716130
266,1,32,657873
267,1,45,361658
268,1,62,690071
269,1,49,302367
270,1,41,752739
271,0,48,817205
272,0,54,784760
273,0,32,976812
274,0,68,202735
275,1,39,666035
276,0,50,509864
277,0,32,523267
278,0,44,858844
279,0,39,974717
280,0,30,135085
281,1,35,794223
282,0,44,317219
283,1,64,681022
284,0,56,273158
285,0,55,270507
286,0,31,567415
287,0,51,370376
288,0,61,692459
289,0,52,843056
290,0,61,276653
291,0,59,536230
292,0,31,133925
293,1,50,608978
294,0,61,335413
295,0,31,958286
296,0,38,594050
297,0,45,269091
298,0,43,159716
299,1,53,795068
300,0,34,511886
301,1,66,466834
302,1,66,526237
303,0,49,95177
304,0,32,406881
305,0,50,576419
306,0,45,160470
307,0,57,700032
308,0,59,720066
309,1,39,773808
310,1,43,544397
311,1,66,780997
312,0,60,352168
313,1,63,195318
314,1,51,257921
315,0,45,893760
316,1,42,324042
317,0,57,813878
318,0,43,509524
319,0,58,747924
320,0,59,990516
321,1,44,695281
322,1,57,206827
323,0,54,251625
324,1,42,421517
325,1,44,233006
326,0,53,66616
327,0,60,487337
328,0,34,264819
329,1,53,701403
330,0,38,213828
331,0,48,993296
332,0,64,365526
333,0,49,289876
334,0,41,176222
335,0,31,799107
336,0,53,507978
337,0,50,653791
338,1,45,880041
339,0,64,447755
340,1,34,464993
341,0,44,923826
342,1,55,992809
343,1,44,934658
344,0,66,232270
345,1,62,266183
346,0,53,898798
347,0,67,106649
348,0,35,889384
349,0,67,782586
350,1,55,120742
351,0,35,802956
352,1,37,967721
353,0,54,703280
354,0,59,136549
355,1,48,285850
356,1,38,372267
357,0,40,638337
358,0,68,814672
359,0,58,523290
360,0,64,336922
361,1,31,682705
362,0,64,768936
363,0,64,427280
364,1,35,445626
365,0,53,73602
366,0,51,307206
367,1,65,621178
368,0,45,201039
369,1,48,516288
370,1,44,639060
371,0,53,46912
372,0,62,625299
373,1,32,848402
374,1,57,465328
375,1,62,200935
376,0,36,314886
377,0,53,470051
378,1,48,633276
379,0,51,360229
380,1,61,53818
381,0,38,991460
382,1,39,290218
383,0,42,775853
384,1,59,117918
385,0,63,357698
386,0,31,846739
387,0,56,72995
388,1,54,209812
389,0,64,40405
390,1,42,352931
391,1,58,226988
392,0,50,357305
393,1,32,398662
394,0,52,100896
395,0,70,834134
396,1,54,999308
397,0,46,299567
398,1,38,110543
399,1,35,700427
400,1,50,432046
401,1,54,907339
402,0,69,752545
403,0,55,522774
404,0,47,998299
405,1,63,555847
406,0,36,325123
407,1,45,99307
408,1,62,644217
409,1,39,144718
410,1,55,102827
411,1,58,368683
412,1,43,937702
413,1,65,176605
414,0,67,93572
415,0,54,457658
416,1,58,627212
417,0,43,280337
418,1,61,304424
419,0,30,514867
420,1,32,297417
421,1,47,677815
422,1,47,195216
423,1,43,732436
424,1,30,166391
425,0,58,648730
426,1,65,728650
427,0,33,368117
428,0,36,695782
429,0,39,251658
430,1,33,744022
431,0,30,363649
432,0,32,419459
433,0,64,11344
434,1,49,936636
435,0,47,356965
436,1,38,321253
437,0,38,530910
438,1,56,771742
439,1,56,706640
440,0,60,830385
441,1,62,991270
442,1,35,801286
443,1,64,725802
444,1,63,320040
445,1,61,982000
446,0,45,294386
447,1,66,928904
448,1,67,580822
449,0,50,934987
450,0,32,594417
451,0,43,538327
452,1,49,600844
453,1,69,343933
